,title
0,Economic
1,Environmental
2,Adventure
3,Animals
4,Civilization
5,Movies / TV / Radio theme
6,Civil War
7,Fantasy
8,Card Game
9,Modern Warfare
10,American West
11,Dice
12,Ancient
13,Medieval
14,City Building
15,Spies/Secret Agents
16,Action / Dexterity
17,Bluffing
18,Abstract Strategy
19,Arabian
20,Racing
21,Science Fiction
22,Post-Napoleonic
23,Deduction
24,Renaissance
25,Industry / Manufacturing
26,Medical
27,Exploration
28,Party Game
29,Trains
30,Aviation / Flight
31,Wargame
32,Miniatures
33,Horror
34,Real-time
35,Political
36,Prehistoric
37,Age of Reason
38,Electronic
39,Humor
40,Collectible Components
41,Comic Book / Strip
42,Negotiation
43,Fighting
44,Nautical
45,Napoleonic
46,Children's Game
47,American Civil War
48,Maze
49,Educational
50,Pike and Shot
51,Transportation
52,Mythology
53,Travel
54,Math
55,Murder/Mystery
56,Music
57,Farming
58,Print & Play
60,Novel-based
61,Religious
63,Puzzle
64,Sports
65,Space Exploration
66,Territory Building
67,Word Game
68,Number
69,World War II
70,World War I
71,Mafia
72,American Indian Wars
73,Expansion for Base-game
74,Zombies
75,Pirates
76,Video Game Theme
77,American Revolutionary War
78,Mature / Adult
79,Memory
80,Trivia
81,Vietnam War
